epoch,train,val
1,0.16320661635637285,0.1623135575056076
2,0.16124896639347078,0.16120208549499512
3,0.16028301943778991,0.15889150446653366
4,0.15752130702257156,0.1571052170395851
5,0.15806650685071946,0.15698402029275893
6,0.1568478639817238,0.15632329905033113
7,0.1550671740078926,0.1561075440645218
8,0.15501787178754806,0.1558224403858185
9,0.15414156778097152,0.15596912229061127
10,0.15439960557460786,0.15247427332401275
11,0.15291884431600572,0.15241142815351486
12,0.15338132254123688,0.1530831575989723
13,0.15218217237472534,0.15178486686944961
14,0.1507757685136795,0.1510410321354866
15,0.15100739204883576,0.15327823787927627
16,0.1518701071357727,0.15250266408920288
17,0.15162868376255034,0.15130830180644989
18,0.14993118535041808,0.14999787282943725
19,0.14982168066978455,0.15014155542850494
20,0.1498001585173607,0.15279319226741792
21,0.14990447429418563,0.1498894191980362
22,0.15080009552240373,0.14971819418668747
23,0.14762025277376176,0.1475864993929863
24,0.1483174372935295,0.150677862405777
25,0.15177255213260651,0.15295466005802155
26,0.14866472719430923,0.1498509333729744
27,0.14795166538238524,0.14999343287944794
28,0.14807782016992568,0.1510229094028473
29,0.14796956585884094,0.14799339425563812
30,0.14742222066402436,0.14935746854543686
31,0.1471531732773781,0.14999719506502152
32,0.1465319606590271,0.14578832072019576
33,0.14565619607686997,0.14857106322050095
34,0.14573264788627624,0.14769360560178757
35,0.14557068243265153,0.14673835504055024
36,0.14585982535839082,0.14854297524690627
37,0.14563285382032395,0.14679623633623123
38,0.14652095221996309,0.14879317820072174
39,0.14626472644805907,0.15059242832660674
40,0.14461781163454054,0.14686595356464385
41,0.14505106820821762,0.14710667222738266
42,0.14422449375391005,0.14922631877660752
43,0.14533615869760513,0.14684446394443512
44,0.1454550911259651,0.1455268032550812
45,0.14777741985559464,0.1497154015302658
46,0.14794186374664306,0.14841585725545883
47,0.14548340782403946,0.14683720636367797
48,0.1444156403684616,0.14488219106197356
49,0.14485579872846605,0.14662190681695939
50,0.1457545950102806,0.14811420458555222
