epoch,train,val
1,0.09403747776299715,0.10860708343982696
2,0.09593231830447913,0.10574871832132339
3,0.09578031845837831,0.10912721943855286
4,0.09363616603165865,0.10396005374193192
5,0.09487102209478616,0.10742570930719375
6,0.09310583749264478,0.1052448233962059
7,0.09323993574678897,0.10615819096565246
8,0.09289612562805415,0.10464827209711075
9,0.09537812442332506,0.10895390558242798
10,0.09604102630317211,0.10404044330120087
11,0.09674304741024971,0.11123054474592209
12,0.10097105964422226,0.10810095167160035
13,0.10274678305089474,0.10659966033697128
14,0.09618809987008571,0.10990477308630943
15,0.09406803487390279,0.10471874839067459
16,0.09210256945490837,0.10430557280778885
17,0.09196178814172745,0.10395081210136413
18,0.09657801186740399,0.10648450291156769
19,0.0942789275676012,0.10624719896912575
20,0.09274716959744692,0.10493208912014962
21,0.09333327362835407,0.10684276300668716
22,0.09541870075464248,0.10654954853653907
23,0.09451691088378429,0.10483692201972007
24,0.09387322642803192,0.10834242480993271
25,0.0938669909954071,0.10745116785168647
26,0.09141345831602812,0.10578574123978615
27,0.09108467829078436,0.10418495577573776
28,0.0906975496917963,0.10565458846092224
29,0.09188767710924149,0.10441494315862655
30,0.0920529118284583,0.10475722992420197
